ride_id,started_at,ended_at,start_station,end_station,user_type
R105335,2026-07-24 14:01:00,2026-07-24 14:02:00,piedmont park,Georgia State University,member
R102590,2026-06-26 11:04:00,2026-06-26 11:12:21,georgia state university,Piedmont Park,member
R101800,2026-06-18 08:15:00,06/18/2026 08:25,Centennial Olympic Park,Midtown MARTA,member
R105080,21-Jul-2026 09:54,2026-07-21 10:14:18,Ponce City Market,West End,member
R104580,07/17/2026 17:25,07/17/2026 17:34,Ponce City Market,Little Five Points,member
R100686,06/07/2026 12:40,2026-06-07 13:13:46,Little Five Points,Midtown MARTA,casual
R100907,2026-06-10 13:33:00,2026-06-14 13:33:00,Georgia State University,Atlantic Station,member
R103348,2026-07-04 19:20:00,2026-07-04 19:31:43,Midtown MARTA,Ponce City Market,member
R100414,2026-06-04 02:44:00,2026-06-04 02:55:27,GEORGIA STATE UNIVERSITY,Centennial Olympic Park,member
R102753,2026-06-28 09:16:00,2026-06-28 09:25:06,Piedmont Park,Georgia State University,member
R103762,2026-07-08 19:08:00,2026-07-08 19:40:18,Midtown MARTA,Georgia State University,casual
R104394,2026-07-15 17:44:00,2026-07-15 18:02:12,Midtown MARTA,PONCE CITY MARKET,member
R103632,2026-07-07 08:49:00,2026-07-07 09:03:33,Midtown MARTA,Ponce City Market,member
R103649,07/07/2026 07:40,2026-07-07 07:51:02,Ponce City Market,Midtown MARTA,member
R102447,2026-06-24 08:20:00,06/24/2026 08:46,Georgia State University,Ponce City Market,casual
R101210,2026-06-12 07:08:00,2026-06-12 07:24:21,Atlantic Station,Ponce City Market,casual
R101581,2026-06-16 15:15:00,2026-06-16 15:28:46,Midtown MARTA,Ponce City Market,member
R101187,06/12/2026 20:06,2026-06-12 20:33:52,Georgia State University,Midtown MARTA,casual
R103942,2026-07-10 17:38:00,2026-07-10 17:42:43,Atlantic Station,Georgia State University,member
R103481,07/06/2026 08:50,2026-07-06 09:02:31,Georgia State University,Ponce City Market,member
R104832,2026-07-19 08:04:00,2026-07-19 08:23:14,Ponce City Market,Midtown MARTA,casual
R101028,2026-06-11 05:15:00,2026-06-11 05:29:44,Midtown MARTA,Georgia State University,casual
R103315,04-Jul-2026 16:52,2026-07-04 17:29:45,Centennial Olympic Park,Georgia State University,casual
R105355,2026-07-24 13:08:00,2026-07-24 13:24:14,  Ponce City Market ,  Midtown MARTA ,casual
R102050,06/21/2026 06:41,2026-06-21 07:06:08,Ponce City Market,  Piedmont Park ,casual
R101530,2026-06-16 17:12:00,2026-06-16 17:23:59,Midtown MARTA,Atlantic Station,member
R102305,2026-06-23 16:20:00,23-Jun-2026 16:30,Georgia State University,Ponce City Market,member
R105035,2026-07-21 05:56:00,21-Jul-2026 06:36,Krog Street Market,Midtown MARTA,casual
R104236,07/13/2026 15:46,2026-07-13 15:57:49,Little Five Points,Centennial Olympic Park,member
R105962,07/30/2026 18:40,30-Jul-2026 18:43,Georgia State University,Centennial Olympic Park,member
R104742,2026-07-18 14:45:00,2026-07-18 15:08:24,  Midtown MARTA ,piedmont park,casual
R103217,2026-07-03 09:47:00,07/03/2026 09:58,Ponce City Market,Piedmont Park,member
R101076,2026-06-11 16:55:00,2026-06-11 17:02:53,georgia state university,Ponce City Market,member
R103427,05-Jul-2026 17:30,2026-07-05 17:41:27,Georgia State University,  Atlantic Station ,member
R100252,2026-06-03 20:05:00,06/03/2026 20:10,Ponce City Market,  Georgia State University ,casual
R101956,06/20/2026 10:24,06/20/2026 10:24,Atlantic Station,Atlantic Station,casual
R105327,07/24/2026 14:55,2026-07-24 15:01:20,Ponce City Market,georgia state university,member
R101041,2026-06-11 21:51:00,2026-06-11 22:05:22,Georgia State University,Midtown MARTA,member
R102607,2026-06-26 06:14:00,26-Jun-2026 06:22,Piedmont Park,PONCE CITY MARKET,member
R101841,2026-06-19 00:29:00,2026-06-19 00:37:06,Ponce City Market,Midtown MARTA,member
R104103,2026-07-12 13:40:00,2026-07-12 13:53:51,Atlantic Station,Ponce City Market,member
R102989,2026-06-30 20:39:00,2026-06-30 20:45:07,CENTENNIAL OLYMPIC PARK,Midtown MARTA,member
R103456,07/05/2026 20:42,2026-07-05 21:22:07,Midtown MARTA,Atlantic Station,casual
R101264,06/13/2026 13:50,06/13/2026 14:20,Midtown MARTA,Ponce City Market,casual
R102780,2026-06-28 22:38:00,2026-06-28 22:55:45,PIEDMONT PARK,West End,casual
R104266,07/14/2026 18:50,07/14/2026 19:05,Ponce City Market,KROG STREET MARKET,member
R103757,2026-07-08 14:16:00,07/08/2026 14:41,Georgia State University,Atlantic Station,casual
R105019,2026-07-20 08:10:00,07/20/2026 08:13,Midtown MARTA,Atlantic Station,casual
R101894,2026-06-19 13:18:00,06/19/2026 13:28,Piedmont Park,Ponce City Market,member
R104984,2026-07-20 15:13:00,2026-07-20 15:23:13,atlantic station,Midtown MARTA,member
R100667,2026-06-07 11:06:00,2026-06-07 11:22:40,Centennial Olympic Park,Ponce City Market,member
R104206,2026-07-13 13:36:00,2026-07-13 13:44:16,Midtown MARTA,Krog Street Market,member
R104289,2026-07-14 07:10:00,2026-07-14 07:23:53,Ponce City Market,georgia state university,member
R100830,06/09/2026 18:45,2026-06-09 18:56:29,Midtown MARTA,Georgia State University,member
R100438,06/05/2026 20:32,2026-06-05 20:39:10,Ponce City Market,Centennial Olympic Park,member
R102705,27-Jun-2026 11:32,2026-06-27 11:45:32,Krog Street Market,Centennial Olympic Park,member
R100831,09-Jun-2026 06:27,09-Jun-2026 06:40,Midtown MARTA,Krog Street Market,member
R105501,26-Jul-2026 09:58,2026-07-26 10:09:23,Midtown MARTA,Georgia State University,casual
R104354,2026-07-14 12:41:00,2026-07-14 12:49:25,Midtown MARTA,Piedmont Park,member
R105434,2026-07-25 07:06:00,2026-07-25 07:19:16,Ponce City Market,Atlantic Station,casual
R105235,2026-07-22 19:28:00,2026-07-22 19:45:20,Ponce City Market,  Midtown MARTA ,casual
R102676,2026-06-27 11:13:00,2026-06-27 11:24:48,Atlantic Station,Midtown MARTA,member
R104680,07/17/2026 15:37,2026-07-17 15:51:53,Midtown MARTA,LITTLE FIVE POINTS,member
R101153,2026-06-12 07:55:00,2026-06-12 08:01:26,Midtown MARTA,Atlantic Station,member
R100390,2026-06-04 18:17:00,2026-06-04 18:30:17,Midtown MARTA,  Ponce City Market ,member
R100109,2026-06-01 01:59:00,06/01/2026 02:08,Ponce City Market,Midtown MARTA,member
R105902,2026-07-30 13:44:00,2026-07-30 13:55:59,Ponce City Market,Centennial Olympic Park,member
R101880,2026-06-19 09:37:00,2026-06-19 09:56:34,Midtown MARTA,Georgia State University,member
R103135,07/02/2026 16:27,2026-07-02 17:00:37,Piedmont Park,Atlantic Station,casual
R101601,2026-06-16 07:28:00,06/16/2026 07:43,Atlantic Station,Grant Park,member
R103713,2026-07-08 08:58:00,2026-07-08 09:24:36,  Ponce City Market ,Midtown MARTA,casual
R100466,2026-06-05 18:42:00,05-Jun-2026 18:44,Piedmont Park,Centennial Olympic Park,member
R100125,2026-06-02 08:29:00,2026-06-02 08:39:02,Midtown MARTA,georgia state university,member
R103641,2026-07-07 14:21:00,2026-07-07 14:21:00,Georgia State University,Georgia State University,member
R104645,17-Jul-2026 07:00,07/17/2026 07:15,Georgia State University,Krog Street Market,casual
R103498,2026-07-06 12:01:00,2026-07-06 12:15:42,Georgia State University,Midtown MARTA,member
R104083,2026-07-11 10:42:00,2026-07-11 10:55:21,Midtown MARTA,Ponce City Market,member
R103210,07/02/2026 19:50,07/02/2026 19:53,Ponce City Market,Midtown MARTA,member
R101714,2026-06-17 12:23:00,17-Jun-2026 12:27,Centennial Olympic Park,Midtown MARTA,member
R101969,2026-06-20 13:35:00,2026-06-20 13:54:59,Ponce City Market,MIDTOWN MARTA,casual
R104456,2026-07-15 14:43:00,07/15/2026 15:06,West End,Piedmont Park,casual
R101118,06/11/2026 16:44,2026-06-11 16:47:30,Midtown MARTA,Ponce City Market,member
R104720,2026-07-18 17:04:00,2026-07-18 17:11:27,Centennial Olympic Pk,PONCE CITY MARKET,casual
R104597,2026-07-17 17:23:00,2026-07-17 17:36:09,Centennial Olympic Park,Midtown MARTA,member
R105358,07/24/2026 08:14,07/24/2026 08:26,GEORGIA STATE UNIVERSITY,Midtown MARTA,member
R100990,2026-06-10 03:46:00,06/10/2026 03:48,Ponce City Market,Atlantic Station,member
R104006,2026-07-10 10:34:00,2026-07-10 10:59:54,Centennial Olympic Pk,Midtown MARTA,casual
R102897,2026-06-29 04:59:00,2026-06-29 05:16:03,Georgia State University,Piedmont Park,member
R105394,2026-07-24 08:25:00,2026-07-24 08:30:40,Ponce City Market,Midtown MARTA,member
R100237,2026-06-03 18:06:00,2026-06-03 18:20:21,PONCE CITY MARKET,Centennial Olympic Park,member
R104469,2026-07-16 17:29:00,2026-07-16 17:47:41,Georgia State University,Atlantic Station,casual
R105673,27-Jul-2026 17:48,2026-07-27 18:05:46,Georgia State University,Ponce City Market,member
R102946,2026-06-29 08:34:00,2026-06-29 08:43:34,West End,Georgia State University,member
R102299,2026-06-23 19:55:00,23-Jun-2026 20:09,Ponce City Market,Centennial Olympic Park,member
R103276,03-Jul-2026 12:07,07/03/2026 12:19,PONCE CITY MARKET,Centennial Olympic Park,member
R105829,2026-07-29 07:29:00,2026-07-29 07:41:13,Midtown MARTA,Ponce City Market,member
R105760,2026-07-28 13:37:00,2026-07-28 14:02:59,Ponce City Market,MIDTOWN MARTA,casual
R104003,2026-07-10 08:54:00,2026-07-10 09:02:58,Georgia State University,Midtown MARTA,member
R105068,2026-07-21 15:41:00,07/21/2026 16:00,Ponce City Market,Georgia State University,casual
R102678,2026-06-27 11:07:00,2026-06-27 11:19:22,Ponce City Market,Atlantic Station,member
R105450,07/25/2026 13:04,2026-07-25 13:41:22,Ponce City Market,Midtown MARTA,casual
R105629,2026-07-27 12:20:00,2026-07-27 12:24:24,Ponce City Market,  Atlantic Station ,member
R103323,04-Jul-2026 16:19,2026-07-04 16:20:00,Midtown MARTA,Centennial Olympic Park,casual
R103423,2026-07-05 20:02:00,07/05/2026 20:03,Grant Park,Ponce City Market,casual
R103066,2026-07-01 07:49:00,2026-07-01 08:03:04,Atlantic Station,Georgia State University,member
R105257,2026-07-23 11:23:00,2026-07-23 11:31:43,Ponce City Market,Atlantic Station,member
R105411,2026-07-25 04:34:00,07/25/2026 04:42,Ponce City Market,Centennial Olympic Park,member
R100683,2026-06-07 15:52:00,2026-06-07 16:18:46,Atlantic Station,Krog Street Market,casual
R100250,2026-06-03 22:56:00,06/03/2026 23:32,centennial olympic park,Georgia State University,casual
R105928,2026-07-30 12:16:00,30-Jul-2026 12:25,Georgia State University,Ponce City Market,member
R101637,2026-06-17 10:47:00,06/17/2026 10:58,Midtown MARTA,Ponce City Market,member
R104415,2026-07-15 12:04:00,2026-07-24 12:04:00,CENTENNIAL OLYMPIC PARK,Midtown MARTA,member
R102809,06/28/2026 18:27,06/28/2026 18:45,Ponce City Market,Georgia State University,casual
R104772,18-Jul-2026 13:44,2026-07-18 13:50:34,atlantic station,Piedmont Park,casual
R102266,06/23/2026 15:52,23-Jun-2026 16:53,Piedmont Park,Georgia State University,casual
R102910,2026-06-29 18:06:00,2026-06-29 18:12:29,Centennial Olympic Park,Georgia State University,member
R105918,2026-07-30 17:07:00,07/30/2026 17:17,GEORGIA STATE UNIVERSITY,Centennial Olympic Park,member
R100182,2026-06-02 17:32:00,06/02/2026 17:40,  Ponce City Market ,Midtown MARTA,member
R105409,2026-07-25 14:59:00,2026-07-25 15:09:27,Georgia State University,Ponce City Market,member
R105930,2026-07-30 09:40:00,2026-07-30 10:07:14,Piedmont Park,  Midtown MARTA ,casual
R101158,12-Jun-2026 08:17,06/12/2026 08:26,Midtown MARTA,Centennial Olympic Park,member
R101755,2026-06-18 12:27:00,2026-06-18 12:31:09,Krog Street Market,Midtown MARTA,member
R104546,2026-07-16 05:01:00,2026-08-05 05:01:00,Midtown MARTA,CENTENNIAL OLYMPIC PARK,member
R105522,2026-07-26 13:40:00,2026-07-26 13:55:20,Centennial Olympic Park,Midtown MARTA,member
R105618,2026-07-27 19:38:00,2026-07-27 19:45:51,Piedmont Park,Krog Street Market,member
R104663,2026-07-17 08:09:00,17-Jul-2026 08:16,Atlantic Station,Ponce City Market,member
R102300,06/23/2026 17:23,06/23/2026 17:32,Atlantic Station,Piedmont Park,member
R100229,06/03/2026 17:56,2026-06-03 18:03:57,Ponce City Market,midtown marta,member
R101266,2026-06-13 14:47:00,2026-06-13 14:53:23,CENTENNIAL OLYMPIC PARK,Midtown MARTA,member
R102935,06/29/2026 11:57,06/29/2026 11:58,midtown marta,Krog Street Market,casual
R103417,07/05/2026 11:41,2026-07-05 11:49:22,Georgia State University,Centennial Olympic Park,casual
R104652,2026-07-17 07:38:00,17-Jul-2026 07:48,Ponce City Market,  Piedmont Park ,member
R102425,2026-06-24 20:16:00,06/24/2026 20:24,Midtown MARTA,CENTENNIAL OLYMPIC PARK,member
R105725,2026-07-27 06:31:00,2026-07-27 06:40:43,Georgia State University,Midtown MARTA,member
R100842,2026-06-09 09:40:00,09-Jun-2026 09:46,PONCE CITY MARKET,Georgia State University,member
R103993,10-Jul-2026 18:13,2026-07-10 18:19:34,Midtown MARTA,Piedmont Park,member
R105295,2026-07-23 15:48:00,2026-07-23 15:55:55,Krog Street Market,Midtown MARTA,member
R101258,2026-06-13 13:24:00,2026-06-13 13:31:39,ATLANTIC STATION,Midtown MARTA,member
R104259,14-Jul-2026 09:31,2026-07-14 09:44:00,piedmont park,georgia state university,member
R101944,2026-06-20 09:52:00,2026-06-20 10:03:51,atlantic station,Ponce City Market,member
R104740,18-Jul-2026 09:38,2026-07-18 09:52:11,PONCE CITY MARKET,Georgia State University,casual
R105137,07/21/2026 08:26,2026-07-21 08:33:43,Ponce City Market,CENTENNIAL OLYMPIC PARK,
R102738,06/28/2026 05:25,2026-06-28 05:52:18,Ponce City Market,West End,casual
R100574,2026-06-06 15:25:00,2026-06-06 15:33:12,West End,Centennial Olympic Park,member
R103084,2026-07-01 17:12:00,2026-07-01 17:21:13,Georgia State University,Midtown MARTA,member
R105728,2026-07-28 05:30:00,07/28/2026 05:55,  Ponce City Market ,Georgia State University,casual
R100687,2026-06-07 13:31:00,07-Jun-2026 14:01,Centennial Olympic Park,Midtown MARTA,casual
R101917,2026-06-19 14:15:00,2026-06-19 14:20:47,  Georgia State University ,Midtown MARTA,member
R102041,2026-06-21 13:00:00,2026-06-21 13:33:45,Centennial Olympic Park,Ponce City Market,casual
R105688,07/27/2026 10:34,2026-07-27 10:41:30,midtown marta,Georgia State University,member
R105731,07/28/2026 19:32,2026-07-28 19:42:55,Ponce City Market,Georgia State University,member
R104276,14-Jul-2026 07:59,2026-07-14 08:33:04,Atlantic Station,Grant Park,casual
R100801,2026-06-08 19:19:00,2026-06-08 19:25:32,Midtown MARTA,PONCE CITY MARKET,member
R102244,2026-06-23 14:00:00,2026-06-23 14:26:34,Piedmont Park,Midtown MARTA,casual
R104716,18-Jul-2026 10:27,07/18/2026 10:37,Piedmont Park,grant park,casual
R100590,2026-06-06 09:43:00,2026-06-06 10:03:28,Atlantic Station,Midtown MARTA,casual
R105090,2026-07-21 17:15:00,07/21/2026 17:59,Atlantic Station,Georgia State University,casual
R102178,2026-06-22 08:06:00,2026-06-22 08:21:27,Georgia State University,Ponce City Market,member
R104951,07/20/2026 16:35,07/20/2026 16:46,Midtown MARTA,  Krog Street Market ,member
R101651,2026-06-17 17:16:00,2026-06-17 17:23:38,midtown marta,Ponce City Market,member
R105299,2026-07-23 10:12:00,2026-07-23 10:20:01,Ponce City Market,Atlantic Station,member
R103079,2026-07-01 06:01:00,2026-07-01 06:33:51,Atlantic Station,Ponce City Market,casual
R104994,2026-07-20 13:39:00,2026-07-20 13:49:14,Midtown MARTA,Georgia State University,member
R105786,28-Jul-2026 06:57,28-Jul-2026 07:15,Ponce City Market,Midtown MARTA,casual
R103572,2026-07-07 18:15:00,2026-07-07 18:16:23,  Ponce City Market ,Centennial Olympic Park,member
R101230,2026-06-12 19:29:00,2026-06-12 19:50:02,Midtown MARTA,Centennial Olympic Park,
R102306,06/23/2026 14:39,2026-06-23 14:56:33,Ponce City Market,Midtown MARTA,member
R102557,2026-06-25 09:41:00,2026-06-25 10:03:36,Midtown MARTA,Centennial Olympic Park,member
R101049,2026-06-11 19:49:00,11-Jun-2026 20:11,Midtown MARTA,Georgia State University,member
R103221,03-Jul-2026 07:19,2026-07-03 07:27:05,Piedmont Park,Ponce City Market,member
R100771,2026-06-08 19:39:00,06/08/2026 19:48,Centennial Olympic Park,Georgia State University,member
R100853,2026-06-09 08:36:00,2026-06-09 08:45:30,  Ponce City Market ,GEORGIA STATE UNIVERSITY,member
R103014,2026-06-30 05:34:00,30-Jun-2026 05:44,MIDTOWN MARTA,,member
R103909,2026-07-10 07:48:00,2026-07-10 08:07:49,Georgia State University,Atlantic Station,casual
R100619,06/07/2026 11:25,2026-06-07 11:46:44,Georgia State University,Midtown MARTA,member
R102945,2026-06-29 19:53:00,2026-06-29 19:59:29,Georgia State University,midtown marta,member
R101615,2026-06-17 19:53:00,2026-06-17 19:59:11,Midtown MARTA,Centennial Olympic Park,member
R104044,2026-07-11 16:21:00,2026-07-11 16:30:19,Atlantic Station,Midtown MARTA,member
R104068,2026-07-11 04:19:00,11-Jul-2026 04:52,Piedmont Park,,casual
R103132,2026-07-02 16:47:00,2026-07-02 17:21:03,Centennial Olympic Park,Georgia State University,casual
R102781,2026-06-28 07:30:00,28-Jun-2026 07:36,Midtown MARTA,Atlantic Station,member
R101525,2026-06-15 11:16:00,2026-06-15 11:31:50,Ponce City Market,Centennial Olympic Park,member
R102714,06/27/2026 17:45,2026-06-27 17:59:50,Midtown MARTA,GEORGIA STATE UNIVERSITY,casual
R102482,06/25/2026 08:26,2026-06-25 08:44:31,Georgia State University,Centennial Olympic Park,casual
R100049,2026-06-01 10:08:00,01-Jun-2026 10:23,Grant Park,PIEDMONT PARK,member
R103267,2026-07-03 07:42:00,2026-07-03 08:01:45,centennial olympic park,Midtown MARTA,member
R101412,2026-06-14 16:41:00,2026-06-14 17:06:22,Ponce City Market,Atlantic Station,casual
R100454,2026-06-05 16:30:00,2026-06-05 16:40:43,Ponce City Market,Atlantic Station,member
R105149,07/21/2026 20:42,2026-07-21 20:55:31,Centennial Olympic Park,krog street market,member
R104650,07/17/2026 07:08,17-Jul-2026 07:27,Ponce City Market,Georgia State University,casual
R105832,2026-07-29 17:30:00,07/29/2026 17:32,Ponce City Market,west end,casual
R102823,2026-06-28 09:45:00,28-Jun-2026 09:57,Ponce City Market,ATLANTIC STATION,casual
R103304,2026-07-04 15:00:00,2026-07-04 15:06:50,Midtown MARTA,Georgia State University,member
R102108,2026-06-21 12:23:00,2026-06-21 12:29:52,Midtown MARTA,PONCE CITY MARKET,member
R101445,2026-06-15 21:07:00,2026-06-15 21:19:22,Piedmont Park,Georgia State University,member
R103872,2026-07-09 09:36:00,2026-07-09 09:41:36,georgia state university,Ponce City Market,member
R105064,07/21/2026 15:53,2026-07-21 16:02:07,Atlantic Station,Centennial Olympic Park,member
R102368,2026-06-24 14:48:00,2026-06-24 14:54:34,Ponce City Market,Georgia State University,member
R103329,2026-07-04 13:17:00,2026-07-04 13:36:52,midtown marta,Atlantic Station,casual
R104128,2026-07-12 22:57:00,07/12/2026 23:08,centennial olympic park,Ponce City Market,member
R104799,2026-07-18 07:57:00,2026-07-18 08:17:35,Piedmont Park,Midtown MARTA,member
R105683,2026-07-27 10:43:00,2026-07-27 10:56:15,  Georgia State University ,Atlantic Station,member
R105705,07/27/2026 07:58,2026-07-27 08:11:46,Centennial Olympic Park,Atlantic Station,member
R104159,07/12/2026 15:22,2026-07-12 15:51:43,Grant Park,ponce city market,casual
R102561,2026-06-25 16:51:00,2026-06-25 17:22:54,Centennial Olympic Park,Grant Park,casual
R103080,2026-07-01 07:25:00,01-Jul-2026 07:26,Atlantic Station,Georgia State University,casual
R103570,2026-07-07 16:12:00,2026-07-07 16:18:30,Atlantic Station,,member
R102474,2026-06-25 19:03:00,2026-06-25 19:37:04,  Georgia State University ,Ponce City Market,casual
R101458,06/15/2026 13:35,06/15/2026 13:51,Krog Street Market,Ponce City Market,member
R103274,2026-07-03 07:42:00,2026-07-03 07:50:35,Atlantic Station,Ponce City Market,member
R100703,07-Jun-2026 16:03,2026-06-07 16:22:04,Georgia State University,Ponce City Market,member
R100444,2026-06-05 22:39:00,2026-06-05 22:47:48,centennial olympic park,Georgia State University,member
R100563,2026-06-06 00:52:00,2026-06-06 01:14:30,Centennial Olympic Park,Midtown MARTA,casual
R100004,2026-06-01 15:11:00,01-Jun-2026 15:29,  Georgia State University ,Midtown MARTA,member
R104400,2026-07-15 10:15:00,15-Jul-2026 10:28,  Atlantic Station ,Centennial Olympic Park,member
R100282,2026-06-03 05:32:00,06/03/2026 05:46,Centennial Olympic Park,Krog Street Market,member
R103676,2026-07-08 12:45:00,2026-07-08 12:56:28,Centennial Olympic Park,Midtown MARTA,member
R102427,2026-06-24 17:23:00,06/24/2026 17:33,Midtown MARTA,Georgia State University,member
R105169,2026-07-22 18:52:00,2026-07-22 18:59:04,Midtown MARTA,Atlantic Station,member
R102698,2026-06-27 09:25:00,2026-06-27 09:38:58,Georgia State University,Ponce City Market,member
R104219,2026-07-13 07:45:00,2026-07-13 08:21:11,Piedmont Park,Centennial Olympic Park,casual
R100735,06/08/2026 11:19,06/08/2026 12:01,Ponce City Market,Centennial Olympic Park,casual
R103910,2026-07-10 18:09:00,2026-07-10 18:22:12,Ponce City Market,  Midtown MARTA ,member
R100358,2026-06-04 14:15:00,2026-06-04 14:24:12,PONCE CITY MARKET,Atlantic Station,member
R103506,2026-07-06 11:44:00,2026-07-06 11:56:16,Ponce City Market,Atlantic Station,casual
R105713,2026-07-27 20:28:00,27-Jul-2026 21:04,PONCE CITY MARKET,midtown marta,casual
R102409,2026-06-24 08:54:00,2026-06-24 08:57:55,ATLANTIC STATION,Midtown MARTA,member
R102377,06/24/2026 18:53,06/24/2026 19:07,GEORGIA STATE UNIVERSITY,Little Five Points,member
R102736,2026-06-28 21:01:00,2026-06-28 21:06:39,Midtown MARTA,Georgia State University,member
R103472,2026-07-06 11:09:00,07/06/2026 11:26,Atlantic Station,Ponce City Market,member
R105210,2026-07-22 08:52:00,2026-07-22 09:04:31,Little Five Points,Ponce City Market,member
R101918,06/19/2026 06:48,2026-06-19 07:02:52,Piedmont Pk,Midtown MARTA,member
R100329,06/04/2026 07:18,2026-06-14 07:18:00,West End,Ponce City Market,member
R100303,2026-06-03 19:16:00,06/03/2026 19:30,Little Five Points,Atlantic Station,member
R105838,2026-07-29 14:43:00,2026-07-29 14:58:40,Centennial Olympic Park,Krog Street Market,member
R105994,2026-07-30 19:25:00,2026-07-30 19:41:34,Georgia State University,Midtown MARTA,member
R102768,2026-06-28 11:29:00,06/28/2026 11:48,PONCE CITY MARKET,MIDTOWN MARTA,casual
R104757,2026-07-18 14:30:00,2026-07-18 14:37:19,West End,midtown marta,member
R100852,2026-06-09 14:40:00,2026-06-09 14:57:29,Piedmont Park,Midtown MARTA,member
R100746,2026-06-08 06:32:00,2026-06-08 06:43:49,Georgia State University,Centennial Olympic Park,member
R104804,2026-07-19 14:57:00,2026-07-19 15:38:35,Ponce City Market,Midtown MARTA,casual
R102367,06/24/2026 07:10,2026-06-24 07:26:22,Georgia State University,Centennial Olympic Park,member
R101121,06/11/2026 09:37,11-Jun-2026 09:47,Georgia State University,Centennial Olympic Park,member
R104030,11-Jul-2026 16:11,2026-07-11 16:23:03,Midtown MARTA,Georgia State University,member
R102613,26-Jun-2026 12:15,06/26/2026 12:22,Ponce City Market,Georgia State University,member
R104105,2026-07-12 14:36:00,07/12/2026 14:43,ATLANTIC STATION,ponce city market,member
R104157,2026-07-12 19:45:00,2026-07-12 19:55:17,Midtown MARTA,Krog Street Market,member
R100788,08-Jun-2026 07:56,2026-06-08 08:07:59,Piedmont Park,Midtown MARTA,member
R104486,2026-07-16 17:45:00,2026-07-16 17:49:38,CENTENNIAL OLYMPIC PARK,Ponce City Market,casual
R100112,2026-06-01 13:49:00,2026-06-01 14:01:37,Centennial Olympic Park,Midtown MARTA,member
R103611,07/07/2026 08:06,2026-07-07 08:00:00,Centennial Olympic Park,West End,casual
R102725,2026-06-27 12:15:00,2026-06-27 12:44:29,Atlantic Station,Centennial Olympic Park,casual
R100170,2026-06-02 14:57:00,2026-06-02 15:05:25,Midtown MARTA,Ponce City Market,member
R102073,2026-06-21 11:20:00,2026-06-21 11:29:42,Midtown MARTA,Ponce City Market,member
R100175,2026-06-02 18:26:00,2026-06-02 18:42:05,Ponce City Market,Krog Street Market,casual
R102660,2026-06-27 17:35:00,2026-06-27 17:43:19,Georgia State University,Centennial Olympic Park,member
R101592,06/16/2026 15:47,2026-06-16 15:59:12,Georgia State University,ATLANTIC STATION,member
R104617,2026-07-17 19:35:00,2026-07-17 19:46:50,Midtown MARTA,Georgia State University,member
R102055,2026-06-21 12:06:00,21-Jun-2026 12:23,Georgia State University,Ponce City Market,casual
R105104,07/21/2026 22:15,2026-07-21 22:25:09,Midtown MARTA,Piedmont Park,member
R101510,2026-06-15 17:35:00,2026-06-15 17:49:35,Atlantic Station,Midtown MARTA,member
R101305,2026-06-13 01:40:00,2026-06-13 02:12:28,PONCE CITY MARKET,Centennial Olympic Pk,casual
R102706,06/27/2026 09:46,06/27/2026 10:12,PONCE CITY MARKET,  Midtown MARTA ,casual
R100364,2026-06-04 10:26:00,2026-06-04 10:41:48,Atlantic Station,Ponce City Market,member
R105173,2026-07-22 09:17:00,2026-07-22 09:35:59,Ponce City Market,Midtown MARTA,casual
R103378,2026-07-04 12:37:00,2026-07-04 12:45:24,centennial olympic park,PONCE CITY MARKET,member
R102167,2026-06-22 18:48:00,2026-06-22 18:58:14,Midtown MARTA,Atlantic Station,member
R102708,2026-06-27 18:20:00,2026-06-27 18:33:01,Centennial Olympic Park,Midtown MARTA,member
R102844,2026-06-28 07:16:00,2026-06-28 07:45:49,Atlantic Station,MIDTOWN MARTA,casual
R101017,06/11/2026 16:53,06/11/2026 17:01,Piedmont Park,Centennial Olympic Park,member
R105814,07/29/2026 08:20,2026-07-29 08:31:45,Midtown MARTA,  Atlantic Station ,member
R104402,2026-07-15 19:51:00,2026-07-15 19:59:17,Georgia State University,Piedmont Park,member
R104662,07/17/2026 18:50,2026-07-17 18:59:42,Midtown MARTA,Centennial Olympic Park,member
R103438,2026-07-05 16:18:00,2026-07-05 16:54:19,Ponce City Market,,casual
R103766,2026-07-08 05:57:00,2026-07-08 06:30:43,Atlantic Station,,casual
R102793,06/28/2026 08:31,2026-06-28 08:44:09,Ponce City Market,MIDTOWN MARTA,member
R101738,2026-06-18 08:56:00,2026-06-18 09:03:38,Centennial Olympic Park,Krog Street Market,member
R104295,2026-07-14 07:21:00,2026-07-14 07:33:08,West End,Ponce City Market,member
R105853,07/29/2026 06:29,2026-07-29 07:00:07,Piedmont Park,Midtown MARTA,casual
R104802,07/19/2026 16:28,2026-07-19 16:36:09,midtown marta,,member
R100575,2026-06-06 15:42:00,2026-06-06 15:44:48,Georgia State University,Midtown MARTA,member
R102677,2026-06-27 11:23:00,2026-06-27 11:26:17,  West End ,Midtown MARTA,casual
R102094,2026-06-21 14:45:00,2026-06-21 15:16:41,GEORGIA STATE UNIVERSITY,Midtown MARTA,casual
R105607,2026-07-27 16:54:00,2026-07-27 17:06:51,Ponce City Market,West End,member
R104851,2026-07-19 19:17:00,07/19/2026 19:30,Atlantic Station,GEORGIA STATE UNIVERSITY,casual
R101957,20-Jun-2026 13:43,2026-06-20 13:55:47,Atlantic Station,Ponce City Market,member
